ABQ,LAX
AMA,LAS
ANC,PDX
ATL,LAX
AUS,LAX
BDL,MDW
BFI,SEA
BGR,PHL
BHM,PHX
BIL,SLC
BNA,LAX
BOS,LAX
BUF,ORD
BWI,LAX
CHS,ATL
CLE,LAX
CLT,LAX
CMH,LAX
CPR,SLC
CRP,IAH
CVG,LAX
DAY,DEN
DEN,LAX
DFW,LAX
DLH,LAS
DSM,DEN
ERI,CLE
EWR,LAX
FAI,SEA
FLL,LAX
FWA,ORD
GEG,LAS
GPT,DFW
GRB,MSP
GSO,CLT
GSP,BNA
HNL,LAX
HSV,DFW
IAD,LAX
IAH,LAX
ICT,LAS
IND,LAX
JAN,DFW
JAX,DFW
JFK,LAX
LAS,LAX
LBB,LAS
MBS,ORD
MCI,LAX
MCO,LAX
MDW,LAX
MEM,LAX
MIA,LAX
MKE,LAX
MLI,LAS
MSP,LAX
MSY,LAX
MYR,ATL
OAK,LAX
ONT,LAS
ORD,LAX
ORF,BNA
PBI,TPA
PDX,LAX
PHF,DEN
PHL,LAX
PHX,LAX
PIT,LAX
PWM,ORD
RDU,LAX
RFD,DEN
RIC,CVG
RNO,LAX
ROC,ORD
RST,MSP
RSW,IAH
SAN,LAX
SAT,LAX
SAV,DFW
SDF,STL
SEA,LAX
SFB,GSP
SFO,LAX
SJC,LAX
SLC,LAX
SMF,LAX
SRQ,ATL
STL,LAX
SYR,ORD
TPA,LAX
TUL,LAX
TUS,LAX
