Airport,Adjacent_Airport,id,Adjacent_id,Distance
AMA,SYR,2,90,0
AMA,TPA,2,91,0
AMA,TUL,2,92,0
AMA,TUS,2,93,0
ANC,ABQ,3,1,0
ANC,AMA,3,2,0
ANC,ANC,3,3,0
ANC,ATL,3,4,0
ANC,AUS,3,5,0
ANC,BDL,3,6,0
ANC,BFI,3,7,0
ANC,BGR,3,8,0
ANC,BHM,3,9,0
ANC,BIL,3,10,0
ANC,BNA,3,11,0
ANC,BOS,3,12,0
ANC,BUF,3,13,0
ANC,BWI,3,14,0
ANC,CHS,3,15,0
ANC,CLE,3,16,0
ANC,CLT,3,17,0
ANC,CMH,3,18,0
ANC,CPR,3,19,0
ANC,CRP,3,20,0
ANC,CVG,3,21,0
ANC,DAY,3,22,0
ANC,DEN,3,23,2400.53707505742
ANC,DFW,3,24,0
ANC,DLH,3,25,0
ANC,DSM,3,26,0
ANC,ERI,3,27,0
ANC,EWR,3,28,0
ANC,FAI,3,29,260.332510887655
ANC,FLL,3,30,0
ANC,FWA,3,31,0
ANC,GEG,3,32,0
ANC,GPT,3,33,0
ANC,GRB,3,34,0
ANC,GSO,3,35,0
ANC,GSP,3,36,0
ANC,HNL,3,37,2780.33423859282
ANC,HSV,3,38,0
ANC,IAD,3,39,0
ANC,IAH,3,40,0
ANC,ICT,3,41,0
ANC,IND,3,42,0
ANC,JAN,3,43,0
ANC,JAX,3,44,0
ANC,JFK,3,45,0
ANC,LAS,3,46,0
ANC,LAX,3,47,0
ANC,LBB,3,48,0
ANC,MBS,3,49,0
ANC,MCI,3,50,0
ANC,MCO,3,51,0
ANC,MDW,3,52,0
ANC,MEM,3,53,0
ANC,MIA,3,54,0
ANC,MKE,3,55,0
ANC,MLI,3,56,0
ANC,MSP,3,57,2511.73659401843
ANC,MSY,3,58,0
ANC,MYR,3,59,0
ANC,OAK,3,60,0
ANC,ONT,3,61,0
ANC,ORD,3,62,2838.83310046603
ANC,ORF,3,63,0
ANC,PBI,3,64,0
ANC,PDX,3,65,1539.06553297627
ANC,PHF,3,66,0
ANC,PHL,3,67,0
ANC,PHX,3,68,2548.66674978513
ANC,PIT,3,69,0
ANC,PWM,3,70,0
ANC,RDU,3,71,0
ANC,RFD,3,72,0
ANC,RIC,3,73,0
ANC,RNO,3,74,0
ANC,ROC,3,75,0
ANC,RST,3,76,0
ANC,RSW,3,77,0
ANC,SAN,3,78,0
ANC,SAT,3,79,0
ANC,SAV,3,80,0
ANC,SDF,3,81,0
ANC,SEA,3,82,1445.17507431086
ANC,SFB,3,83,0
ANC,SFO,3,84,0
ANC,SJC,3,85,0
ANC,SLC,3,86,2120.84189287227
ANC,SMF,3,87,0
ANC,SRQ,3,88,0
ANC,STL,3,89,0
ANC,SYR,3,90,0
ANC,TPA,3,91,0
ANC,TUL,3,92,0
ANC,TUS,3,93,0
ATL,ABQ,4,1,1266.63973488863
ATL,AMA,4,2,0
ATL,ANC,4,3,0
ATL,ATL,4,4,0
ATL,AUS,4,5,811.555426716631
ATL,BDL,4,6,858.986428320433
ATL,BFI,4,7,0
ATL,BGR,4,8,0
ATL,BHM,4,9,133.928053809695
ATL,BIL,4,10,0
ATL,BNA,4,11,214.03402387953
ATL,BOS,4,12,945.507980961146
ATL,BUF,4,13,712.795633200057
ATL,BWI,4,14,576.376438939168
ATL,CHS,4,15,258.545483389802
ATL,CLE,4,16,555.425835711565
ATL,CLT,4,17,226.545441911534
ATL,CMH,4,18,447.666918714944
ATL,CPR,4,19,0
ATL,CRP,4,20,0
ATL,CVG,4,21,374.200589920937
ATL,DAY,4,22,433.098501483914
ATL,DEN,4,23,1197.21867647934
ATL,DFW,4,24,729.865271631818
ATL,DLH,4,25,0
ATL,DSM,4,26,743.063980924167
ATL,ERI,4,27,0
ATL,EWR,4,28,745.266588330979
ATL,FAI,4,29,0
ATL,FLL,4,30,581.913503741337
ATL,FWA,4,31,509.04251037551
ATL,GEG,4,32,0
ATL,GPT,4,33,351.701939324242
ATL,GRB,4,34,0
ATL,GSO,4,35,306.110378156543
ATL,GSP,4,36,153.234470606847
ATL,HNL,4,37,4495.16639060514
ATL,HSV,4,38,150.979948457274
ATL,IAD,4,39,533.810133652544
ATL,IAH,4,40,688.249934380548
ATL,ICT,4,41,780.290739953683
ATL,IND,4,42,432.665937178837
ATL,JAN,4,43,339.903309386639
ATL,JAX,4,44,269.968683959278
ATL,JFK,4,45,759.420484937205
ATL,LAS,4,46,1742.94677010092
ATL,LAX,4,47,1942.3872928158
ATL,LBB,4,48,0
ATL,MBS,4,49,0
ATL,MCI,4,50,691.862136161566
ATL,MCO,4,51,404.373723344328
ATL,MDW,4,52,591.557378131478
ATL,MEM,4,53,331.082371836233
ATL,MIA,4,54,595.971809764614
ATL,MKE,4,55,670.099053409217
ATL,MLI,4,56,633.862996181596
ATL,MSP,4,57,907.082751366242
ATL,MSY,4,58,424.778091264132
ATL,MYR,4,59,316.292069075093
ATL,OAK,4,60,0
ATL,ONT,4,61,0
ATL,ORD,4,62,606.699405909912
ATL,ORF,4,63,515.587779894764
ATL,PBI,4,64,545.596432973385
ATL,PDX,4,65,2168.19801520445
ATL,PHF,4,66,507.828534485923
ATL,PHL,4,67,665.898051688583
ATL,PHX,4,68,1584.02335170531
ATL,PIT,4,69,526.941824630718
ATL,PWM,4,70,1026.41086557869
ATL,RDU,4,71,355.600583726123
ATL,RFD,4,72,0
ATL,RIC,4,73,480.461378147744
ATL,RNO,4,74,0
ATL,ROC,4,75,749.836682510055
ATL,RST,4,76,0
ATL,RSW,4,77,515.932975647499
ATL,SAN,4,78,1887.64527918312
ATL,SAT,4,79,872.892958964437
ATL,SAV,4,80,214.262512813858
ATL,SDF,4,81,321.964230124777
ATL,SEA,4,82,2178.02612444841
ATL,SFB,4,83,0
ATL,SFO,4,84,2134.36648748875
ATL,SJC,4,85,2111.32707962805
ATL,SLC,4,86,1586.83396314234
ATL,SMF,4,87,2087.77740261571
ATL,SRQ,4,88,445.419857846967
ATL,STL,4,89,484.081361984871
ATL,SYR,4,90,793.934219063218
ATL,TPA,4,91,406.993223140717
ATL,TUL,4,92,672.528297547086
ATL,TUS,4,93,1537.96191094213
AUS,ABQ,5,1,0
AUS,AMA,5,2,0
AUS,ANC,5,3,0
AUS,ATL,5,4,811.555426716631
AUS,AUS,5,5,0
AUS,BDL,5,6,0
AUS,BFI,5,7,0
AUS,BGR,5,8,0
AUS,BHM,5,9,0
AUS,BIL,5,10,0
AUS,BNA,5,11,755.619337361751
AUS,BOS,5,12,1696.26091473541
AUS,BUF,5,13,0
AUS,BWI,5,14,1340.40378812707
AUS,CHS,5,15,0
AUS,CLE,5,16,0
AUS,CLT,5,17,1030.9382503251
AUS,CMH,5,18,0
AUS,CPR,5,19,0
AUS,CRP,5,20,0
AUS,CVG,5,21,0
AUS,DAY,5,22,0
AUS,DEN,5,23,776.030379333641
AUS,DFW,5,24,190.392582111746
AUS,DLH,5,25,0
AUS,DSM,5,26,0
AUS,ERI,5,27,0
AUS,EWR,5,28,1501.89100115953
AUS,FAI,5,29,0
AUS,FLL,5,30,1103.42044339103
AUS,FWA,5,31,0
AUS,GEG,5,32,0
AUS,GPT,5,33,0
AUS,GRB,5,34,0
AUS,GSO,5,35,0
AUS,GSP,5,36,0
AUS,HNL,5,37,0
AUS,HSV,5,38,0
AUS,IAD,5,39,1295.24330392753
AUS,IAH,5,40,139.964581583368
AUS,ICT,5,41,0
AUS,IND,5,42,0
AUS,JAN,5,43,0
AUS,JAX,5,44,0
AUS,JFK,5,45,1519.63419169423
AUS,LAS,5,46,1088.16510171646
AUS,LAX,5,47,1239.30665083753
AUS,LBB,5,48,341.657934126649
AUS,MBS,5,49,0
AUS,MCI,5,50,0
AUS,MCO,5,51,992.397416204974
AUS,MDW,5,52,972.607896637463
AUS,MEM,5,53,558.862268223006
AUS,MIA,5,54,0
AUS,MKE,5,55,0
AUS,MLI,5,56,0
AUS,MSP,5,57,1043.28489877096
AUS,MSY,5,58,0
AUS,MYR,5,59,0
AUS,OAK,5,60,1494.69201300474
AUS,ONT,5,61,0
AUS,ORD,5,62,978.448938449329
AUS,ORF,5,63,0
AUS,PBI,5,64,0
AUS,PDX,5,65,0
AUS,PHF,5,66,0
AUS,PHL,5,67,1428.68101465345
AUS,PHX,5,68,870.536343049066
AUS,PIT,5,69,0
AUS,PWM,5,70,0
AUS,RDU,5,71,0
AUS,RFD,5,72,0
AUS,RIC,5,73,0
AUS,RNO,5,74,0
AUS,ROC,5,75,0
AUS,RST,5,76,0
AUS,RSW,5,77,0
AUS,SAN,5,78,1162.06797062151
AUS,SAT,5,79,0
AUS,SAV,5,80,0
AUS,SDF,5,81,0
AUS,SEA,5,82,1769.38467563178
AUS,SFB,5,83,0
AUS,SFO,5,84,1501.3342558193
AUS,SJC,5,85,1473.61782051322
AUS,SLC,5,86,1085.35650481257
AUS,SMF,5,87,0
AUS,SRQ,5,88,0
AUS,STL,5,89,0
AUS,SYR,5,90,0
AUS,TPA,5,91,926.059198802263
AUS,TUL,5,92,0
AUS,TUS,5,93,0
BDL,ABQ,6,1,0
BDL,AMA,6,2,0
BDL,ANC,6,3,0
BDL,ATL,6,4,858.986428320433
BDL,AUS,6,5,0
BDL,BDL,6,6,0
BDL,BFI,6,7,0
BDL,BGR,6,8,0
BDL,BHM,6,9,0
BDL,BIL,6,10,0
BDL,BNA,6,11,0
BDL,BOS,6,12,0
BDL,BUF,6,13,0
BDL,BWI,6,14,283.18816891665
BDL,CHS,6,15,0
BDL,CLE,6,16,474.266945351808
BDL,CLT,6,17,643.590597411293
BDL,CMH,6,18,0
BDL,CPR,6,19,0
BDL,CRP,6,20,0
BDL,CVG,6,21,659.994280644407
BDL,DAY,6,22,0
BDL,DEN,6,23,1667.18049465715
BDL,DFW,6,24,1468.50535540002
BDL,DLH,6,25,0
BDL,DSM,6,26,0
BDL,ERI,6,27,0
BDL,EWR,6,28,115.584929278568
BDL,FAI,6,29,0
BDL,FLL,6,30,1175.63849846155
BDL,FWA,6,31,0
BDL,GEG,6,32,0
BDL,GPT,6,33,0
BDL,GRB,6,34,0
BDL,GSO,6,35,0
BDL,GSP,6,36,0
BDL,HNL,6,37,0
BDL,HSV,6,38,0
BDL,IAD,6,39,325.177792984127
BDL,IAH,6,40,0
BDL,ICT,6,41,0
BDL,IND,6,42,0
BDL,JAN,6,43,0
BDL,JAX,6,44,0
BDL,JFK,6,45,106.270437448598
BDL,LAS,6,46,2291.94846997807
BDL,LAX,6,47,0
BDL,LBB,6,48,0
BDL,MBS,6,49,0
BDL,MCI,6,50,0
BDL,MCO,6,51,1051.55766132053
BDL,MDW,6,52,774.539264166183
BDL,MEM,6,53,0
BDL,MIA,6,54,1196.69184266203
BDL,MKE,6,55,0
BDL,MLI,6,56,0
BDL,MSP,6,57,1047.83576607733
BDL,MSY,6,58,0
BDL,MYR,6,59,0
BDL,OAK,6,60,0
BDL,ONT,6,61,0
BDL,ORD,6,62,781.101369134542
BDL,ORF,6,63,0
BDL,PBI,6,64,1134.70025064495
BDL,PDX,6,65,0
BDL,PHF,6,66,0
BDL,PHL,6,67,195.539140377724
BDL,PHX,6,68,0
BDL,PIT,6,69,404.809501201351
BDL,PWM,6,70,0
BDL,RDU,6,71,531.790869076576
BDL,RFD,6,72,0
BDL,RIC,6,73,0
BDL,RNO,6,74,0
BDL,ROC,6,75,0
BDL,RST,6,76,0
BDL,RSW,6,77,0
BDL,SAN,6,78,0
BDL,SAT,6,79,0
BDL,SAV,6,80,0
BDL,SDF,6,81,0
BDL,SEA,6,82,0
BDL,SFB,6,83,0
BDL,SFO,6,84,0
BDL,SJC,6,85,0
BDL,SLC,6,86,0
BDL,SMF,6,87,0
BDL,SRQ,6,88,0
BDL,STL,6,89,0
BDL,SYR,6,90,0
BDL,TPA,6,91,1112.65690218727
BDL,TUL,6,92,0
BDL,TUS,6,93,0
BFI,ABQ,7,1,0
BFI,AMA,7,2,0
BFI,ANC,7,3,0
BFI,ATL,7,4,0
BFI,AUS,7,5,0
BFI,BDL,7,6,0
BFI,BFI,7,7,0
BFI,BGR,7,8,0
BFI,BHM,7,9,0
BFI,BIL,7,10,0
BFI,BNA,7,11,0
BFI,BOS,7,12,0
BFI,BUF,7,13,0
BFI,BWI,7,14,0
BFI,CHS,7,15,0
BFI,CLE,7,16,0
BFI,CLT,7,17,0
BFI,CMH,7,18,0
BFI,CPR,7,19,0
BFI,CRP,7,20,0
BFI,CVG,7,21,0
BFI,DAY,7,22,0
BFI,DEN,7,23,0
BFI,DFW,7,24,0
BFI,DLH,7,25,0
BFI,DSM,7,26,0
BFI,ERI,7,27,0
BFI,EWR,7,28,0
BFI,FAI,7,29,0
BFI,FLL,7,30,0
BFI,FWA,7,31,0
BFI,GEG,7,32,0
BFI,GPT,7,33,0
BFI,GRB,7,34,0
BFI,GSO,7,35,0
BFI,GSP,7,36,0
BFI,HNL,7,37,0
BFI,HSV,7,38,0
BFI,IAD,7,39,0
BFI,IAH,7,40,0
BFI,ICT,7,41,0
BFI,IND,7,42,0
BFI,JAN,7,43,0
BFI,JAX,7,44,0
BFI,JFK,7,45,0
BFI,LAS,7,46,0
BFI,LAX,7,47,0
BFI,LBB,7,48,0
BFI,MBS,7,49,0
BFI,MCI,7,50,0
BFI,MCO,7,51,0
BFI,MDW,7,52,0
BFI,MEM,7,53,0
BFI,MIA,7,54,0
BFI,MKE,7,55,0
BFI,MLI,7,56,0
BFI,MSP,7,57,0
BFI,MSY,7,58,0
BFI,MYR,7,59,0
BFI,OAK,7,60,0
BFI,ONT,7,61,0
BFI,ORD,7,62,0
BFI,ORF,7,63,0
BFI,PBI,7,64,0
BFI,PDX,7,65,0
BFI,PHF,7,66,0
BFI,PHL,7,67,0
BFI,PHX,7,68,0
BFI,PIT,7,69,0
BFI,PWM,7,70,0
BFI,RDU,7,71,0
BFI,RFD,7,72,0
BFI,RIC,7,73,0
BFI,RNO,7,74,0
BFI,ROC,7,75,0
BFI,RST,7,76,0
BFI,RSW,7,77,0
BFI,SAN,7,78,0
BFI,SAT,7,79,0
BFI,SAV,7,80,0
BFI,SDF,7,81,0
BFI,SEA,7,82,5.60625406160621
BFI,SFB,7,83,0
BFI,SFO,7,84,0
BFI,SJC,7,85,0
BFI,SLC,7,86,0
BFI,SMF,7,87,0
BFI,SRQ,7,88,0
BFI,STL,7,89,0
BFI,SYR,7,90,0
BFI,TPA,7,91,0
BFI,TUL,7,92,0
BFI,TUS,7,93,0
BGR,ABQ,8,1,0
BGR,AMA,8,2,0
BGR,ANC,8,3,0
BGR,ATL,8,4,0
BGR,AUS,8,5,0
BGR,BDL,8,6,0
BGR,BFI,8,7,0
BGR,BGR,8,8,0
BGR,BHM,8,9,0
BGR,BIL,8,10,0
BGR,BNA,8,11,0
BGR,BOS,8,12,0
BGR,BUF,8,13,0
BGR,BWI,8,14,0
BGR,CHS,8,15,0
BGR,CLE,8,16,0
BGR,CLT,8,17,0
BGR,CMH,8,18,0
BGR,CPR,8,19,0
BGR,CRP,8,20,0
BGR,CVG,8,21,0
BGR,DAY,8,22,0
BGR,DEN,8,23,0
BGR,DFW,8,24,0
BGR,DLH,8,25,0
BGR,DSM,8,26,0
BGR,ERI,8,27,0
BGR,EWR,8,28,0
BGR,FAI,8,29,0
BGR,FLL,8,30,0
BGR,FWA,8,31,0
BGR,GEG,8,32,0
BGR,GPT,8,33,0
BGR,GRB,8,34,0
BGR,GSO,8,35,0
BGR,GSP,8,36,0
BGR,HNL,8,37,0
BGR,HSV,8,38,0
BGR,IAD,8,39,0
BGR,IAH,8,40,0
BGR,ICT,8,41,0
BGR,IND,8,42,0
BGR,JAN,8,43,0
BGR,JAX,8,44,0
BGR,JFK,8,45,0
BGR,LAS,8,46,0
BGR,LAX,8,47,0
BGR,LBB,8,48,0
BGR,MBS,8,49,0
BGR,MCI,8,50,0
BGR,MCO,8,51,0
BGR,MDW,8,52,0
BGR,MEM,8,53,0
BGR,MIA,8,54,0
BGR,MKE,8,55,0
BGR,MLI,8,56,0
BGR,MSP,8,57,0
BGR,MSY,8,58,0
BGR,MYR,8,59,0
BGR,OAK,8,60,0
BGR,ONT,8,61,0
BGR,ORD,8,62,0
BGR,ORF,8,63,0
BGR,PBI,8,64,0
BGR,PDX,8,65,0
BGR,PHF,8,66,0
BGR,PHL,8,67,472.549111056945
BGR,PHX,8,68,0
BGR,PIT,8,69,0
BGR,PWM,8,70,0
BGR,RDU,8,71,0
BGR,RFD,8,72,0
BGR,RIC,8,73,0
BGR,RNO,8,74,0
BGR,ROC,8,75,0
BGR,RST,8,76,0
BGR,RSW,8,77,0
BGR,SAN,8,78,0
BGR,SAT,8,79,0
BGR,SAV,8,80,0
BGR,SDF,8,81,0
BGR,SEA,8,82,0
BGR,SFB,8,83,1299.76468218283
BGR,SFO,8,84,0
BGR,SJC,8,85,0
BGR,SLC,8,86,0
BGR,SMF,8,87,0
BGR,SRQ,8,88,0
BGR,STL,8,89,0
BGR,SYR,8,90,0
BGR,TPA,8,91,0
BGR,TUL,8,92,0
BGR,TUS,8,93,0
BHM,ABQ,9,1,0
BHM,AMA,9,2,0
BHM,ANC,9,3,0
BHM,ATL,9,4,133.928053809695
BHM,AUS,9,5,0
BHM,BDL,9,6,0
BHM,BFI,9,7,0
BHM,BGR,9,8,0
BHM,BHM,9,9,0
BHM,BIL,9,10,0
BHM,BNA,9,11,177.051840375219
BHM,BOS,9,12,0
BHM,BUF,9,13,0
BHM,BWI,9,14,681.401548969312
BHM,CHS,9,15,0
BHM,CLE,9,16,0
BHM,CLT,9,17,350.339792487697
BHM,CMH,9,18,0
BHM,CPR,9,19,0
BHM,CRP,9,20,0
BHM,CVG,9,21,0
BHM,DAY,9,22,0
BHM,DEN,9,23,1081.26538666427
BHM,DFW,9,24,595.962577293195
BHM,DLH,9,25,0
BHM,DSM,9,26,0
BHM,ERI,9,27,0
BHM,EWR,9,28,0
BHM,FAI,9,29,0
BHM,FLL,9,30,0
BHM,FWA,9,31,0
BHM,GEG,9,32,0
BHM,GPT,9,33,0
BHM,GRB,9,34,0
BHM,GSO,9,35,0
BHM,GSP,9,36,0
BHM,HNL,9,37,0
BHM,HSV,9,38,0
BHM,IAD,9,39,0
BHM,IAH,9,40,561.536002790687
BHM,ICT,9,41,0
BHM,IND,9,42,0
