,ABQ,AMA,ANC,ATL,AUS,BDL,BFI,BGR,BHM,BIL,BNA,BOS,BUF,BWI,CHS,CLE,CLT,CMH,CPR,CRP,CVG,DAY,DEN,DFW,DLH,DSM,ERI,EWR,FAI,FLL,FWA,GEG,GPT,GRB,GSO,GSP,HNL,HSV,IAD,IAH,ICT,IND,JAN,JAX,JFK,LAS,LAX,LBB,MBS,MCI,MCO,MDW,MEM,MIA,MKE,MLI,MSP,MSY,MYR,OAK,ONT,ORD,ORF,PBI,PDX,PHF,PHL,PHX,PIT,PWM,RDU,RFD,RIC,RNO,ROC,RST,RSW,SAN,SAT,SAV,SDF,SEA,SFB,SFO,SJC,SLC,SMF,SRQ,STL,SYR,TPA,TUL,TUS
EWR,0,0,0,745.266588330979,1501.89100115953,115.584929278568,0,0,0,0,746.318556057414,200.284125705547,281.637116323102,168.890191533066,628.580504891464,403.178207856055,528.376053621466,461.697356552023,0,0,567.881394410073,532.186912277471,1601.00346571572,1370.07756594026,0,1014.36579837204,0,0,0,1066.85622693777,0,0,0,0,445.202465036367,594.193529528661,4954.70724163512,0,212.160087998403,1398.51012355648,0,642.923241278819,0,820.848670621616,0,2222.160284961,2448.98128130839,0,0,1089.33851441775,938.876336369427,709.075079797858,944.715392628675,1087.83718346701,722.989037330482,0,1005.89137538663,1166.65200339867,550.641362290994,0,0,717.388488795259,284.316002519687,1025.56006737679,2427.55684544743,0,80.0646159723951,2128.55556925198,318.428788716278,284.047486840563,416.322844617299,0,277.540956055321,0,246.075068523713,0,1070.06482149939,2420.42583602317,1567.44886917752,708.802118456366,640.827094488335,2395.41819831595,0,2559.21329261448,0,1963.80707851575,0,0,870.187498837313,194.564724222263,998.769249550909,1212.22593177188,0
FAI,0,0,260.332510887655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529.64664527403,0,0,0,0,0,0,0,0,0,0,0
FLL,0,0,0,581.913503741337,1103.42044339103,1175.63849846155,0,0,0,0,794.128726933458,1239.27878107831,1168.28509515189,927.584368598287,0,1064.308282552,633.386443271379,0,0,0,934.026814161119,0,1702.06115336937,1117.86842581035,0,0,0,1066.85622693777,0,0,0,0,0,0,0,621.896272046586,0,0,0,964.138471628965,0,0,0,319.46428178588,1070.86832929536,2170.02445922782,2338.50265260289,0,0,1242.53519852214,177.661812738836,1168.67730824501,850.988921141972,0,1245.16933189016,0,1488.90715332728,672.880226065984,530.711874368855,0,0,1184.02950677596,0,0,0,0,994.645108676486,1969.19024580936,996.32190886967,0,682.288129577205,0,807.174414009223,0,0,0,0,0,0,0,0,2714.07298539456,0,2579.3622248493,0,0,0,0,1057.79699894221,0,196.862095221164,0,0
FWA,0,0,0,509.04251037551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.593671528238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.137381321194,0,0,0,0,156.363614359752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.118578974549,0,0,0,0,0,0,0,0,0,0
GEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.502990020773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806.634528818786,0,0,0,0,0,0,0,0,0,0,1171.97704075109,0,0,723.878819019643,0,0,0,0,278.288214916707,0,0,1021.50933307863,0,0,0,0,0,0,0,0,0,0,0,0,0,223.036010371926,0,733.185279440087,0,546.065338554391,0,0,0,0,0,0,0
GPT,0,0,0,351.701939324242,0,0,0,0,0,0,0,0,0,0,0,0,576.768676955919,0,0,0,0,0,0,499.066602075834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.622829684842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.894952727279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.628381663456,0,0,0,0,173.562266680871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSO,0,0,0,306.110378156543,0,0,0,0,0,0,0,0,0,0,0,0,83.174413313164,0,0,0,329.602226637316,0,0,997.198847852241,0,0,0,445.202465036367,0,0,0,0,0,0,0,0,0,0,239.110263565777,0,0,0,0,0,457.816182862782,0,0,0,0,0,0,0,0,712.329134196772,0,0,0,0,0,0,0,589.389056134461,0,0,0,0,365.155922640646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.442871657913,0,0,0,0,0,0,0,0,0,0
GSP,0,0,0,153.234470606847,0,0,0,0,0,0,264.769097332656,0,0,425.485529186363,0,450.685120950461,75.4403318860103,0,0,0,317.182616603729,0,0,860.258622132506,0,0,0,594.193529528661,0,621.896272046586,0,0,0,0,0,0,0,0,383.937589580449,836.196103733131,0,0,0,0,0,0,0,0,0,0,449.991669360875,562.378947510126,0,0,0,0,0,0,0,0,0,577.796561928806,0,0,0,0,514.470808491085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.645290094194,0,0,0,0,0,0,0,0,0,0
HNL,0,0,2780.33423859282,4495.16639060514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360.47680514073,3778.67078667265,0,0,0,4954.70724163512,0,0,0,0,0,0,0,0,0,0,4809.3972809169,3897.69966839704,0,0,0,0,4975.43516057046,2759.30548223766,2552.82698130376,0,0,0,0,0,0,0,0,0,0,0,0,2406.8536470086,0,4237.46855877519,0,0,2602.55694719514,0,0,2913.4277139831,0,0,0,0,0,0,0,0,0,2610.30357744569,0,0,0,2676.98914569361,0,2396.6678546451,2414.66524678387,2990.90057664012,2460.39354960119,0,0,0,0,0,0
